+-------+----------------------+--------+
| Epoch |         bpd          |   lr   |
+-------+----------------------+--------+
|   1   | 0.13821895777770918  | 0.0001 |
|   2   | 0.10737622641537288  | 0.0001 |
|   3   | 0.08284168680236764  | 0.0001 |
|   4   |  0.075979917578093   | 0.0001 |
|   5   | 0.07171253252723446  | 0.0001 |
|   6   | 0.06952871040326275  | 0.0001 |
|   7   | 0.07209867565599207  | 0.0001 |
|   8   | 0.07185877165565752  | 0.0001 |
|   9   | 0.07189185896964922  | 0.0001 |
|   10  | 0.07302747472916564  | 0.0001 |
|   11  | 0.07375834310707981  | 0.0001 |
|   12  | 0.07248568626707547  | 0.0001 |
|   13  | 0.07983537242837148  | 0.0001 |
|   14  | 0.06970567276624784  | 0.0001 |
|   15  | 0.06988003758126743  | 0.0001 |
|   16  | 0.07501806910723856  | 0.0001 |
|   17  | 0.07361068045848036  | 0.0001 |
|   18  | 0.07325156961810099  | 0.0001 |
|   19  | 0.07071091346953014  | 0.0001 |
|   20  | 0.07298388015734006  | 0.0001 |
|   21  | 0.06799937590752562  | 0.0001 |
|   22  |  0.0747233683319941  | 0.0001 |
|   23  |  0.0709278964220661  | 0.0001 |
|   24  | 0.07280275531827587  | 0.0001 |
|   25  | 0.06700883989464747  | 0.0001 |
|   26  | 0.07366239983741552  | 0.0001 |
|   27  | 0.07496193020719372  | 0.0001 |
|   28  | 0.07490120603613658  | 0.0001 |
|   29  |  0.0705656195442154  | 0.0001 |
|   30  | 0.07308987762830028  | 0.0001 |
|   31  | 0.07400554387945019  | 0.0001 |
|   32  | 0.07008987384503834  | 0.0001 |
|   33  | 0.07042652388958082  | 0.0001 |
|   34  |  0.069207454278861   | 0.0001 |
|   35  | 0.07019064136563916  | 0.0001 |
|   36  |  0.0691353296988631  | 0.0001 |
|   37  |  0.0733914605966986  | 0.0001 |
|   38  | 0.07124777138233185  | 0.0001 |
|   39  | 0.07284256938385637  | 0.0001 |
|   40  |  0.0703713883684106  | 0.0001 |
|   41  | 0.07140757908968076  | 0.0001 |
|   42  |  0.0685710101707341  | 0.0001 |
|   43  |  0.0662868250518629  | 0.0001 |
|   44  | 0.07020249804609442  | 0.0001 |
|   45  | 0.07076345195304858  | 0.0001 |
|   46  | 0.07328287695776926  | 0.0001 |
|   47  | 0.07159460744220916  | 0.0001 |
|   48  | 0.07005414836210748  | 0.0001 |
|   49  | 0.07073451803155141  | 0.0001 |
|   50  | 0.06849165852755716  | 0.0001 |
|   51  | 0.07961439734248266  | 0.0001 |
|   52  | 0.07097553339314787  | 0.0001 |
|   53  | 0.06979670584814189  | 0.0001 |
|   54  | 0.07728705381693905  | 0.0001 |
|   55  |  0.0726872980594635  | 0.0001 |
|   56  | 0.07048066419689622  | 0.0001 |
|   57  | 0.07269495000986204  | 0.0001 |
|   58  |  0.0667087292834504  | 0.0001 |
|   59  | 0.07271480810356466  | 0.0001 |
|   60  | 0.07188024111602405  | 0.0001 |
|   61  | 0.07231946534489932  | 0.0001 |
|   62  | 0.06820266642799117  | 0.0001 |
|   63  |  0.069591917709945   | 0.0001 |
|   64  | 0.07030140093132241  | 0.0001 |
|   65  | 0.07006950023239605  | 0.0001 |
|   66  | 0.07220317402931109  | 0.0001 |
|   67  | 0.06931984419487927  | 0.0001 |
